Word	type	syllable	V_Quality	ID	Iteration	stress_level	stress_type	quality	Vowel_Duration_(ms)
yaka_	CV	ya	a	IA0	1	phrase	unstressed	1	70.36573875
yaka_	CV	ya	a	IA0	1	word	unstressed	1	44.94170553
c_eebii	CVV	c_ee	ee	IA0	1	phrase	primary	1	131.0634131
c_eebii	CVV	c_ee	ee	IA0	1	word	primary	1	86.23239734
c_eebiiz	CVV	c_ee	ee	IA0	1	phrase	secondary	1	125.8099336
c_eebiiz	CVV	c_ee	ee	IA0	1	word	secondary	1	90.70098039
_aa_gaar	CVVC	gaar	aa	IA0	1	phrase	secondary	1	157.6513194
_aa_gaar	CVVC	gaar	aa	IA0	1	word	secondary	1	116.8128547
_eekii	CVV	_ee	ee	IA0	1	phrase	primary	1	118.2340719
_eekii	CVV	_ee	ee	IA0	1	word	primary	1	107.7958302
_eekiiz	CVV	_ee	ee	IA0	1	phrase	secondary	1	122.6730412
_eekiiz	CVV	_ee	ee	IA0	1	word	secondary	1	112.2717255
aazvaa_	CVVC	vaa_	aa	IA0	2	phrase	secondary	1	121.4174525
aazvaa_	CVVC	vaa_	aa	IA0	2	word	secondary	1	94.71260417
bazvaa_	CVVC	vaa_	aa	IA0	2	phrase	primary	1	120.7284799
bazvaa_	CVVC	vaa_	aa	IA0	2	word	primary	1	90.47172702
bee_ii	CVV	bee	e___	IA0	2	phrase	primary	1	129.0737645
bee_ii	CVV	bee	e___	IA0	2	word	primary	1	108.9630975
bee_iiz	CVV	bee	e___	IA0	2	phrase	secondary	1	126.6904941
bee_iiz	CVV	bee	e___	IA0	2	word	secondary	1	97.71550853
belti	CVC	bel	e	IA0	2	phrase	primary	4	120.5217998
belti	CVC	bel	e	IA0	2	word	primary	4	83.33162909
beltiiz	CVC	bel	e	IA0	2	phrase	unstressed	1	127.7604555
beltiiz	CVC	bel	e	IA0	2	word	unstressed	1	82.25208571
cuki	CV	cu	u	IA0	2	phrase	primary	1	44.67939453
cuki	CV	cu	u	IA0	2	word	primary	1	39.87280093
cukii_	CV	cu	u	IA0	2	phrase	unstressed	1	57.17126758
cukii_	CV	cu	u	IA0	2	word	unstressed	1	38.085
daa_daar	CVVC	daar	aa	IA0	2	phrase	secondary	1	144.3490897
daa_daar	CVVC	daar	aa	IA0	2	word	secondary	1	98.0440987
d_antrii	CVCC	d_ant	a	IA0	2	phrase	unstressed	1	78.91038742
d_antrii	CVCC	d_ant	a	IA0	2	word	unstressed	1	73.50409466
d_antriyo	CVCC	d_ant	a	IA0	2	phrase	primary	2	68.37907529
d_antriyo	CVCC	d_ant	a	IA0	2	word	primary	2	62.57261905
d_oondaar	CVVC	daar	aa	IA0	2	phrase	secondary	1	143.295704
d_oondaar	CVVC	daar	aa	IA0	2	word	secondary	1	112.4461551
gandgii	CVCC	gand	a	IA0	2	phrase	unstressed	1	64.23851103
gandgii	CVCC	gand	a	IA0	2	word	unstressed	1	58.59155093
gandyo	CVCC	gand	a	IA0	2	phrase	primary	1	67.30872101
gandyo	CVCC	gand	a	IA0	2	word	primary	1	59.87008365
ga_ku	CVC	ga_	a	IA0	2	word	primary	1	73.16214917
ga_ku	CVC	ga_	a	IA0	2	phrase	primary	1	71.12996032
ga_kuu	CVC	ga_	a	IA0	2	phrase	unstressed	1	89.75985928
ga_kuu	CVC	ga_	a	IA0	2	word	unstressed	1	77.03686709
godaa_	CVVC	daa_	aa	IA0	2	phrase	primary	1	163.3604765
godaa_	CVVC	daa_	aa	IA0	2	word	primary	1	134.4882798
kaardaar	CVVC	daar	aa	IA0	2	phrase	secondary	1	148.673081
kaardaar	CVVC	daar	aa	IA0	2	word	secondary	1	125.8200131
kaa_aa	CVV	kaa	aa	IA0	2	phrase	primary	1	145.5433854
kaa_aa	CVV	kaa	aa	IA0	2	word	primary	1	121.5273442
kaa_aaz	CVV	kaa	aa	IA0	2	phrase	secondary	1	149.7429195
kaa_aaz	CVV	kaa	aa	IA0	2	word	secondary	1	78.37450466
kaca	CV	ka	a	IA0	2	phrase	primary	1	62.27822834
kaca	CV	ka	a	IA0	2	word	primary	1	46.99615515
kacar	CV	ka	a	IA0	2	phrase	unstressed	1	61.35412913
kacar	CV	ka	a	IA0	2	word	unstressed	1	43.76444995
kadaar	CVVC	daar	aa	IA0	2	phrase	primary	1	144.861494
kadaar	CVVC	daar	aa	IA0	2	word	primary	1	95.84573413
kutre	CVC	kut	u	IA0	2	phrase	primary	1	57.0171875
kutre	CVC	kut	u	IA0	2	word	primary	1	37.97196691
kutreez	CVC	kut	u	IA0	2	phrase	unstressed	1	52.08287927
kutreez	CVC	kut	u	IA0	2	word	unstressed	1	45.31085526
k_aba	CV	k_a	a	IA0	2	phrase	primary	2	54.56100962
k_aba	CV	k_a	a	IA0	2	phrase	primary	1	63.14270105
k_aba	CV	k_a	a	IA0	2	word	primary	1	45.30718954
k_aba	CV	k_a	a	IA0	2	word	primary	1	33.91597004
k_abaa_	CV	k_a	a	IA0	2	phrase	unstressed	1	50.28139035
k_abaa_	CV	k_a	a	IA0	2	word	unstressed	1	35.16829372
la_gaar	CVVC	gaar	aa	IA0	2	phrase	primary	1	138.0904561
la_gaar	CVVC	gaar	aa	IA0	2	word	primary	1	131.8020578
maza	CV	ma	a	IA0	2	phrase	primary	1	73.99712363
maza	CV	ma	a	IA0	2	word	primary	1	64.35111902
mazar	CV	ma	a	IA0	2	phrase	unstressed	1	71.42995548
mazar	CV	ma	a	IA0	2	word	unstressed	1	49.01203365
mazdaar	CVVC	daar	aa	IA0	2	phrase	primary	1	147.7062297
mazdaar	CVVC	daar	aa	IA0	2	word	primary	1	109.4632957
pat_re	CVC	pat_	a	IA0	2	phrase	primary	1	64.81107742
pat_re	CVC	pat_	a	IA0	2	word	primary	1	53.25618043
pat_reez	CVC	pat_	a	IA0	2	phrase	unstressed	1	66.55145874
pat_reez	CVC	pat_	a	IA0	2	word	unstressed	1	66.67213744
peekii	CVV	pee	ee	IA0	2	phrase	primary	1	118.9668299
peekii	CVV	pee	ee	IA0	2	phrase	primary	1	118.2042247
peekii	CVV	pee	ee	IA0	2	word	primary	1	94.56321487
peekii	CVV	pee	ee	IA0	2	word	primary	1	85.72126437
peekiiz	CVV	pee	ee	IA0	2	phrase	secondary	1	119.3943762
peekiiz	CVV	pee	ee	IA0	2	word	secondary	1	89.28017356
sa_gtoob	CVCC	sa_g	a	IA0	2	phrase	unstressed	1	65.44273668
sa_gtoob	CVCC	sa_g	a	IA0	2	word	unstressed	1	51.51952757
sa_gyo	CVCC	sa_g	a	IA0	2	phrase	primary	1	54.66853448
sa_gyo	CVCC	sa_g	a	IA0	2	word	primary	2	54.50336871
yaka	CV	ya	a	IA0	2	phrase	primary	1	77.85215305
yaka	CV	ya	a	IA0	2	word	primary	1	66.65183943
yaka_	CV	ya	a	IA0	2	phrase	unstressed	1	68.18494276
yaka_	CV	ya	a	IA0	2	word	unstressed	1	58.2750969
c_eebii	CVV	c_ee	ee	IA0	2	phrase	primary	1	105.6608199
c_eebii	CVV	c_ee	ee	IA0	2	word	primary	1	96.62359246
c_eebiiz	CVV	c_ee	ee	IA0	2	phrase	secondary	1	117.4140885
c_eebiiz	CVV	c_ee	ee	IA0	2	word	secondary	1	81.42653354
_aa_gaar	CVVC	gaar	aa	IA0	2	phrase	secondary	1	141.3492257
_aa_gaar	CVVC	gaar	aa	IA0	2	word	secondary	1	108.3148392
_eekii	CVV	_ee	ee	IA0	2	phrase	primary	1	114.1415344
_eekii	CVV	_ee	ee	IA0	2	word	primary	1	102.5971621
_eekiiz	CVV	_ee	ee	IA0	2	phrase	secondary	1	124.4053276
_eekiiz	CVV	_ee	ee	IA0	2	word	secondary	1	103.7441278
aazvaa_	CVVC	vaa_	aa	AR0	1	phrase	secondary	1	218.8920518
aazvaa_	CVVC	vaa_	aa	AR0	1	word	secondary	1	192.4627753
bazvaa_	CVVC	vaa_	aa	AR0	1	phrase	primary	1	153.5424877
bazvaa_	CVVC	vaa_	aa	AR0	1	word	primary	1	214.7704529
bee_ii	CVV	bee	e___	AR0	1	phrase	primary	1	219.585435
bee_ii	CVV	bee	e___	AR0	1	word	primary	1	185.0262097
bee_iiz	CVV	bee	e___	AR0	1	phrase	secondary	1	194.7912499
bee_iiz	CVV	bee	e___	AR0	1	word	secondary	1	142.2281626
belti	CVC	bel	e	AR0	1	phrase	primary	3	178.7987923
belti	CVC	bel	e	AR0	1	word	primary	3	160.9169095
beltiiz	CVC	bel	e	AR0	1	phrase	unstressed	1	184.1045455
beltiiz	CVC	bel	e	AR0	1	word	unstressed	1	157.5296053
cuki	CV	cu	u	AR0	1	phrase	primary	1	87.26116871
cuki	CV	cu	u	AR0	1	word	primary	1	101.4450572
cukii_	CV	cu	u	AR0	1	phrase	unstressed	1	77.43084491
cukii_	CV	cu	u	AR0	1	word	unstressed	1	67.51230159
daa_daar	CVVC	daar	aa	AR0	1	phrase	secondary	1	234.0973261
daa_daar	CVVC	daar	aa	AR0	1	word	secondary	1	208.8653247
d_antrii	CVCC	d_ant	a	AR0	1	phrase	unstressed	1	96.20170543
d_antrii	CVCC	d_ant	a	AR0	1	word	unstressed	1	88.72528628
d_antriyo	CVCC	d_ant	a	AR0	1	phrase	primary	1	82.26880176
d_antriyo	CVCC	d_ant	a	AR0	1	word	primary	1	86.13735814
d_oondaar	CVVC	daar	aa	AR0	1	phrase	secondary	1	212.4065903
d_oondaar	CVVC	daar	aa	AR0	1	word	secondary	1	151.5273138
gandgii	CVCC	gand	a	AR0	1	phrase	unstressed	1	92.70671838
gandgii	CVCC	gand	a	AR0	1	word	unstressed	1	94.67685636
gandyo	CVCC	gand	a	AR0	1	phrase	primary	1	103.4088731
gandyo	CVCC	gand	a	AR0	1	word	primary	1	87.80655218
godaa_	CVVC	daa_	aa	AR0	1	phrase	primary	1	228.9830389
godaa_	CVVC	daa_	aa	AR0	1	word	primary	1	248.5607311
kaardaar	CVVC	daar	aa	AR0	1	phrase	secondary	1	220.4307629
kaardaar	CVVC	daar	aa	AR0	1	word	secondary	1	205.7710101
kaa_aa	CVV	kaa	aa	AR0	1	phrase	primary	1	187.6410811
kaa_aa	CVV	kaa	aa	AR0	1	word	primary	1	168.5767682
kaa_aaz	CVV	kaa	aa	AR0	1	phrase	secondary	1	184.5269997
kaa_aaz	CVV	kaa	aa	AR0	1	word	secondary	1	165.235366
kaca	CV	ka	a	AR0	1	phrase	primary	1	74.32820664
kaca	CV	ka	a	AR0	1	word	primary	1	72.46656469
kacar	CV	ka	a	AR0	1	phrase	unstressed	1	85.88168724
kacar	CV	ka	a	AR0	1	word	unstressed	1	67.81438863
kadaar	CVVC	daar	aa	AR0	1	phrase	primary	1	263.4335034
kadaar	CVVC	daar	aa	AR0	1	word	primary	1	218.6059524
kutre	CVC	kut	u	AR0	1	phrase	primary	2	95.46126396
kutre	CVC	kut	u	AR0	1	word	primary	3	71.23511905
kutreez	CVC	kut	u	AR0	1	phrase	unstressed	1	72.66856812
kutreez	CVC	kut	u	AR0	1	word	unstressed	1	58.40668168
k_aba	CV	k_a	a	AR0	1	phrase	primary	1	107.4386597
k_aba	CV	k_a	a	AR0	1	word	primary	1	78.59944935
k_abaa_	CV	k_a	a	AR0	1	phrase	unstressed	1	83.33368652
k_abaa_	CV	k_a	a	AR0	1	word	unstressed	1	67.98516877
la_gaar	CVVC	gaar	aa	AR0	1	phrase	primary	1	279.891176
la_gaar	CVVC	gaar	aa	AR0	1	word	primary	1	239.9156901
maza	CV	ma	a	AR0	1	phrase	primary	1	114.4937226
maza	CV	ma	a	AR0	1	word	primary	1	94.55010417
mazar	CV	ma	a	AR0	1	phrase	unstressed	1	101.0411585
mazar	CV	ma	a	AR0	1	word	unstressed	1	102.9168925
mazdaar	CVVC	daar	aa	AR0	1	phrase	primary	1	258.1764004
mazdaar	CVVC	daar	aa	AR0	1	word	primary	1	235.2340678
mistrii	CVCC	mist	i	AR0	1	phrase	unstressed	1	96.32219251
mistrii	CVCC	mist	i	AR0	1	word	unstressed	1	65.20578025
mistriyo	CVCC	mist	i	AR0	1	phrase	primary	1	99.08968664
mistriyo	CVCC	mist	i	AR0	1	word	primary	1	89.64797913
muski	CVC	mus	u	AR0	1	phrase	primary	1	97.83629528
muski	CVC	mus	u	AR0	1	word	primary	1	88.15312865
muskii	CVC	mus	u	AR0	1	phrase	unstressed	1	91.3376568
muskii	CVC	mus	u	AR0	1	word	unstressed	1	79.15343067
pat_re	CVC	pat_	a	AR0	1	phrase	primary	1	83.48651033
pat_re	CVC	pat_	a	AR0	1	word	primary	1	74.24563342
pat_reez	CVC	pat_	a	AR0	1	phrase	unstressed	1	77.11401219
pat_reez	CVC	pat_	a	AR0	1	word	unstressed	1	61.5120479
peekiiz	CVV	pee	ee	AR0	1	phrase	secondary	1	153.2705608
peekiiz	CVV	pee	ee	AR0	1	word	secondary	1	123.8250103
sa_gtoob	CVCC	sa_g	a	AR0	1	phrase	unstressed	1	73.41708333
sa_gtoob	CVCC	sa_g	a	AR0	1	word	unstressed	1	67.17444649
sa_gyo	CVCC	sa_g	a	AR0	1	phrase	primary	1	87.08714376
sa_gyo	CVCC	sa_g	a	AR0	1	word	primary	1	91.05805243
yaka	CV	ya	a	AR0	1	phrase	primary	1	106.755191
yaka	CV	ya	a	AR0	1	word	primary	1	96.59407755
yaka	CV	ya	a	AR0	1	phrase	primary	1	110.3600271
yaka	CV	ya	a	AR0	1	word	primary	1	72.97955898
yaka_	CV	ya	a	AR0	1	phrase	unstressed	1	97.6517316
yaka_	CV	ya	a	AR0	1	word	unstressed	1	79.537247
c_eebii	CVV	c_ee	ee	AR0	1	phrase	primary	1	175.5058864
c_eebii	CVV	c_ee	ee	AR0	1	word	primary	1	153.7514747
c_eebiiz	CVV	c_ee	ee	AR0	1	phrase	secondary	1	158.8482845
c_eebiiz	CVV	c_ee	ee	AR0	1	word	secondary	1	134.705666
_aa_gaar	CVVC	gaar	aa	AR0	1	phrase	secondary	1	205.3467954
_aa_gaar	CVVC	gaar	aa	AR0	1	word	secondary	1	196.2956405
_eekii	CVV	_ee	ee	AR0	1	phrase	primary	1	164.7175674
_eekii	CVV	_ee	ee	AR0	1	word	primary	1	151.3969104
_eekiiz	CVV	_ee	ee	AR0	1	phrase	secondary	1	158.8355489
_eekiiz	CVV	_ee	ee	AR0	1	word	secondary	1	134.6779376
aazvaa_	CVVC	vaa_	aa	AR0	2	phrase	secondary	1	191.4679879
aazvaa_	CVVC	vaa_	aa	AR0	2	word	secondary	1	177.1107191
bazvaa_	CVVC	vaa_	aa	AR0	2	phrase	primary	1	203.0553779
bazvaa_	CVVC	vaa_	aa	AR0	2	word	primary	1	158.5579254
bee_ii	CVV	bee	e___	AR0	2	phrase	primary	1	216.3854362
bee_ii	CVV	bee	e___	AR0	2	word	primary	1	181.1646412
bee_iiz	CVV	bee	e___	AR0	2	phrase	secondary	1	180.4355624
bee_iiz	CVV	bee	e___	AR0	2	word	secondary	1	171.5443144
cuki	CV	cu	u	AR0	2	phrase	primary	1	78.7362174
cuki	CV	cu	u	AR0	2	word	primary	1	63.80775578
cukii_	CV	cu	u	AR0	2	phrase	unstressed	1	72.54602459
cukii_	CV	cu	u	AR0	2	word	unstressed	1	64.78431373
daa_daar	CVVC	daar	aa	AR0	2	phrase	secondary	1	196.5021904
daa_daar	CVVC	daar	aa	AR0	2	word	secondary	1	165.1879566
d_antrii	CVCC	d_ant	a	AR0	2	phrase	unstressed	1	106.7118761
d_antrii	CVCC	d_ant	a	AR0	2	word	unstressed	1	83.9404148
d_antriyo	CVCC	d_ant	a	AR0	2	phrase	primary	1	103.5431443
d_antriyo	CVCC	d_ant	a	AR0	2	word	primary	1	92.18296682
d_oondaar	CVVC	daar	aa	AR0	2	phrase	secondary	1	216.3723406
d_oondaar	CVVC	daar	aa	AR0	2	word	secondary	1	205.9068057
gandgii	CVCC	gand	a	AR0	2	phrase	unstressed	1	101.9103957
gandgii	CVCC	gand	a	AR0	2	word	unstressed	1	75.64109413
gandyo	CVCC	gand	a	AR0	2	phrase	primary	1	103.029998
gandyo	CVCC	gand	a	AR0	2	word	primary	1	82.11961382
godaa_	CVVC	daa_	aa	AR0	2	phrase	primary	1	237.95208
godaa_	CVVC	daa_	aa	AR0	2	word	primary	1	250.1827753
istrii	CVCC	ist	i	AR0	2	phrase	unstressed	1	128.1299636
istrii	CVCC	ist	i	AR0	2	word	unstressed	1	97.77396746
istriyo	CVCC	ist	i	AR0	2	phrase	primary	1	110.1993761
istriyo	CVCC	ist	i	AR0	2	word	primary	1	117.2004256
kaardaar	CVVC	daar	aa	AR0	2	phrase	secondary	1	237.9289132
